nav.bi|Analytics
treso.rembours.new|Nouveau remboursement
treso.rembours.empty|Aucun remboursement
treso.rembours.searchPlh|Rechercher…
treso.rembours.colDate|Date
treso.rembours.colBenef|Bénéficiaire
treso.rembours.colMontant|Montant
treso.rembours.colMotif|Motif
treso.rembours.colStatut|Statut
treso.validations.title|Validations en Attente
treso.validations.subtitle|Opérations soumises à validation
treso.validations.empty|Aucune opération en attente
treso.validations.approveAll|Tout approuver
treso.validations.colDate|Date
treso.validations.colType|Type
treso.validations.colLabel|Libellé
treso.validations.colMontant|Montant
treso.validations.colDemandeur|Demandeur
treso.validations.approve|Approuver
treso.validations.reject|Rejeter
treso.validations.confirmApp|Approuver cette opération ?
treso.validations.confirmRej|Rejeter cette opération ?
treso.wallets.title|Wallets Mobile Money
treso.wallets.subtitle|Portefeuilles Mobile Money & soldes
treso.wallets.newWallet|Nouveau wallet
treso.wallets.empty|Aucun wallet configuré
treso.wallets.searchPlh|Rechercher un wallet…
treso.wallets.colNom|Nom
treso.wallets.colOperateur|Opérateur
treso.wallets.colNumero|Numéro
treso.wallets.colSolde|Solde
treso.wallets.colStatut|Statut
treso.transfers.title|Transferts
treso.transfers.subtitle|Transferts inter-comptes
treso.transfers.new|Nouveau transfert
treso.transfers.empty|Aucun transfert
treso.transfers.searchPlh|Rechercher…
treso.transfers.colDate|Date
treso.transfers.colSource|Source
treso.transfers.colDest|Destination
treso.transfers.colMontant|Montant
treso.transfers.colStatut|Statut
stock.page.title|Stock & Inventaire
stock.page.subtitle|Vue globale des articles en stock
stock.page.searchPlh|Rechercher un article…
stock.page.empty|Aucun article en stock
stock.page.addProduct|Ajouter un produit
stock.page.colRef|Référence
stock.page.colNom|Article
stock.page.colCat|Catégorie
stock.page.colQty|Quantité
stock.page.colPrix|Prix unitaire
stock.page.colValeur|Valeur stock
stock.page.colSeuil|Seuil alerte
stock.page.colStatut|Statut
stock.page.stat.ok|OK
stock.page.stat.low|Stock faible
stock.page.stat.zero|Rupture
stock.alertes.title|Alertes Stock
stock.alertes.subtitle|Articles sous le seuil minimum
stock.alertes.empty|Aucune alerte — tous les stocks sont suffisants
stock.alertes.colArticle|Article
stock.alertes.colQty|Quantité
stock.alertes.colSeuil|Seuil
stock.alertes.colEcart|Écart
stock.alertes.colAction|Action
stock.alertes.commander|Commander
stock.alertes.critical|Critique
stock.alertes.low|Faible
stock.audit.title|Audit des Mouvements
stock.audit.subtitle|Traçabilité complète des opérations stock
stock.audit.searchPlh|Rechercher…
stock.audit.filterAll|Tous mouvements
stock.audit.empty|Aucun mouvement enregistré
stock.audit.colDate|Date
stock.audit.colArticle|Article
stock.audit.colType|Type
stock.audit.colQty|Quantité
stock.audit.colUser|Utilisateur
stock.audit.colRef|Référence
stock.categories.title|Catégories
stock.categories.subtitle|Organisation des articles par catégorie
stock.categories.new|Nouvelle catégorie
stock.categories.searchPlh|Rechercher une catégorie…
stock.categories.empty|Aucune catégorie
stock.categories.colNom|Catégorie
stock.categories.colNbArticles|Articles
stock.categories.colValeur|Valeur
stock.categories.modalTitle|Nouvelle catégorie
stock.categories.formNom|Nom de la catégorie *
stock.categories.formDesc|Description
stock.categories.formColor|Couleur
stock.categories.deleteConfirm|Supprimer cette catégorie ?
stock.entrepots.title|Entrepôts
stock.entrepots.subtitle|Gestion multi-entrepôts
stock.entrepots.new|Nouvel entrepôt
stock.entrepots.empty|Aucun entrepôt configuré
stock.entrepots.searchPlh|Rechercher un entrepôt…
stock.entrepots.colNom|Entrepôt
stock.entrepots.colAdresse|Adresse
stock.entrepots.colArticles|Articles
stock.entrepots.colValeur|Valeur
stock.entrepots.colResponsable|Responsable
stock.fournisseurs.title|Fournisseurs
stock.fournisseurs.subtitle|Catalogue des fournisseurs
stock.fournisseurs.new|Nouveau fournisseur
stock.fournisseurs.searchPlh|Rechercher un fournisseur…
stock.fournisseurs.empty|Aucun fournisseur enregistré
stock.fournisseurs.colNom|Fournisseur
stock.fournisseurs.colContact|Contact
stock.fournisseurs.colTel|Téléphone
stock.fournisseurs.colEmail|Email
stock.fournisseurs.colDelai|Délai livraison
stock.fournisseurs.modalTitle|Nouveau fournisseur
stock.mouvements.title|Mouvements de Stock
stock.mouvements.subtitle|Entrées, sorties et ajustements
stock.mouvements.new|Nouveau mouvement
stock.mouvements.filterAll|Tous types
stock.mouvements.searchPlh|Rechercher…
stock.mouvements.empty|Aucun mouvement
stock.mouvements.colDate|Date
stock.mouvements.colArticle|Article
stock.mouvements.colType|Type
stock.mouvements.colQty|Quantité
stock.mouvements.colUser|Opérateur
stock.mouvements.type.entree|Entrée
stock.mouvements.type.sortie|Sortie
stock.mouvements.type.ajust|Ajustement
stock.codesbarre.title|Codes-barres
stock.codesbarre.subtitle|Gestion et impression des codes-barres
stock.codesbarre.searchPlh|Rechercher un article…
stock.codesbarre.empty|Aucun article
stock.codesbarre.generate|Générer
stock.codesbarre.print|Imprimer
stock.codesbarre.printAll|Tout imprimer
stock.multiunites.title|Multi-Unités
stock.multiunites.subtitle|Unités de mesure et conversions
stock.multiunites.new|Nouvelle unité
stock.multiunites.empty|Aucune unité configurée
stock.multiunites.colNom|Unité
stock.multiunites.colAbrv|Abréviation
stock.multiunites.colBase|Unité de base
stock.multiunites.colConv|Facteur conversion
stock.transferts.title|Transferts inter-entrepôts
stock.transferts.subtitle|Déplacements d\
stock.transferts.new|Nouveau transfert
stock.transferts.searchPlh|Rechercher…
stock.transferts.empty|Aucun transfert enregistré
stock.transferts.colDate|Date
stock.transferts.colArticle|Article
stock.transferts.colSource|Entrepôt source
stock.transferts.colDest|Entrepôt destination
stock.transferts.colQty|Quantité
stock.transferts.colStatut|Statut
stock.valorisation.title|Valorisation du Stock
stock.valorisation.subtitle|Valeur et rotation des stocks
stock.valorisation.searchPlh|Rechercher…
stock.valorisation.empty|Aucune donnée de valorisation
stock.valorisation.totalValue|Valeur totale
stock.valorisation.colArticle|Article
stock.valorisation.colQty|Quantité
stock.valorisation.colPuMoyen|PU moyen
stock.valorisation.colValeur|Valeur
stock.valorisation.colRotation|Rotation
rh.sanctions.new|Nouvelle sanction
rh.sanctions.searchPlh|Rechercher un employé…
rh.sanctions.empty|Aucune sanction enregistrée
rh.sanctions.colEmployee|Employé
rh.sanctions.colType|Type
rh.sanctions.colDate|Date
rh.sanctions.colMotif|Motif
rh.sanctions.colStatut|Statut
rh.sanctions.type.avert|Avertissement
rh.sanctions.type.blame|Blâme
rh.sanctions.type.suspension|Suspension
rh.sanctions.type.licencie|Licenciement
rh.avantages.new|Nouvel avantage
rh.avantages.searchPlh|Rechercher un avantage…
rh.avantages.empty|Aucun avantage configuré
rh.avantages.colNom|Avantage
rh.avantages.colType|Type
rh.avantages.colMontant|Montant / %
rh.avantages.colBeneficiaires|Bénéficiaires
rh.avantages.colStatut|Statut
mm.title|Mobile Money
mm.subtitle|Paiements et transferts mobile
mm.newTransaction|Nouvelle transaction
mm.searchPlh|Rechercher une transaction…
mm.filterAll|Toutes opérations
mm.empty|Aucune transaction Mobile Money
mm.colDate|Date
mm.colType|Type
mm.colMontant|Montant
mm.colTelephone|Téléphone
mm.colOperateur|Opérateur
mm.colStatut|Statut
mm.colRef|Référence
mm.type.depot|Dépôt
mm.type.retrait|Retrait
mm.type.paiement|Paiement
mm.type.transfert|Transfert
mm.stat.succes|Succès
mm.stat.encours|En cours
mm.stat.echec|Échec
devis.title|Devis & Propositions
devis.subtitle|Créez, envoyez et convertissez vos devis en factures
devis.new|Nouveau devis
devis.thisMonth|Ce mois
devis.accepted|Acceptés
devis.acceptanceRate|Taux d\
devis.pending|En attente
devis.convertToInvoice|Convertir en facture
devis.duplicate|Dupliquer
devis.validUntil|Valide jusqu\
devis.number|N° Devis
devis.discount|Remise (%)
devis.noDevis|Aucun devis trouvé
devis.saveDraft|Enregistrer brouillon
devis.send|Envoyer le devis
devis.alreadyConverted|Déjà converti en facture
devis.validity|Date de validité
devis.discountAmount|Montant remise
devis.netHT|HT après remise
devis.confirmConvert|Convertir ce devis en facture ?
devis.convertConfirmMsg|Un numéro de facture sera généré automatiquement.
devis.expired|Expiré
devis.editDevis|Modifier le devis
rapport.ventes.title|Rapports commerciaux
rapport.ventes.subtitle|Ventes · TVA · Recouvrement · Top clients
rapport.ventes.ca|Chiffre d\
rapport.ventes.emis|Factures émises
rapport.ventes.recouvrement|Taux recouvrement
rapport.ventes.tva|TVA collectée
rapport.ventes.impayees|Impayées
rapport.ventes.topClients|Top clients
rapport.ventes.byMonth|Ventes par mois
rapport.ventes.tvaTable|Déclaration TVA
rapport.ventes.export|Exporter CSV
rapport.ventes.retour|Retour
rapport.ventes.jRetard|j de retard
rapport.ventes.total|Total impayé
invoice.encaisser|Encaisser
invoice.avoir|Avoir
invoice.paymentModal.title|Enregistrer un paiement
invoice.paymentModal.reste|Reste à régler
invoice.paymentModal.mode|Mode de paiement
invoice.paymentModal.montant|Montant
invoice.paymentModal.date|Date du paiement
invoice.paymentModal.ref|Référence (optionnelle)
invoice.paymentModal.partial|Paiement partiel
invoice.paymentModal.full|Paiement total
invoice.paymentModal.save|Enregistrer le paiement
invoice.badgeAvoir|AVOIR
invoice.badgeProforma|PROFORMA
invoice.partiel|Partiel
ecole.tab.inscriptions|Inscriptions
ecole.tab.paiements|Paiements & Frais
ecole.tab.notes|Notes & Bulletins
ecole.tab.classes|Classes
ecole.tab.planning|Planning
ecole.tab.absences|Absences
ecole.tab.matieres|Matières
ecole.tab.sessions|Sessions
ecole.tab.examens|Examens & Notes
ecole.tab.attestations|Attestations
ecole.tab.diplomes|Diplômes
ecole.tab.soutenances|Soutenances
ecole.scolarite.title|Scolarité
ecole.scolarite.subtitle|Inscriptions, paiements, notes, classes, planning & absences
ecole.scolarite.kpi.total|Total inscrits
ecole.scolarite.kpi.actifs|Actifs
ecole.scolarite.kpi.suspendus|Suspendus
ecole.scolarite.kpi.diplomes|Diplômés
ecole.scolarite.newStudent|Nouvel étudiant
ecole.scolarite.searchPlh|Rechercher un étudiant…
ecole.scolarite.filterAll|Tous
ecole.scolarite.noStudent|Aucun étudiant
ecole.scolarite.save|Enregistrer
ecole.scolarite.cancel|Annuler
ecole.scolarite.delete|Supprimer
ecole.scolarite.print|Imprimer
ecole.scolarite.unlock|Débloquer
ecole.scolarite.suspend|Suspendre
ecole.scolarite.unblock|Débloquer le compte
ecole.scolarite.codeDeblocage|Code de déblocage
ecole.daac.title|DAAC — Direction des Affaires Académiques
ecole.daac.subtitle|Programmes, sessions, examens, délibérations, diplômes & soutenances
ecole.daac.kpi.actifs|Étudiants actifs
ecole.daac.kpi.sessions|Sessions en cours
ecole.daac.kpi.diplomes|Diplômes en attente
ecole.daac.kpi.soutenances|Soutenances planifiées
ecole.direction.title|Direction Générale
ecole.direction.subtitle|Vue globale, finances, événements & communication
ecole.direction.tab.vue|Vue globale
ecole.direction.tab.finances|Finances
ecole.direction.tab.evenements|Événements
ecole.direction.tab.bourses|Bourses
ecole.direction.tab.partenaires|Partenaires
ecole.direction.tab.communication|Communication
ecole.direction.tab.diplomes|Diplômes
ecole.direction.tab.soutenances|Soutenances
ecole.direction.kpi.etudiants|Étudiants
ecole.direction.kpi.enseignants|Enseignants
ecole.direction.kpi.classes|Classes
ecole.direction.kpi.tauxPaie|Taux de recouvrement
ecole.direction.kpi.revenuMois|Recettes du mois
ecole.direction.kpi.revenuAnnee|Recettes annuelles
ecole.direction.kpi.impayes|Impayés
ecole.direction.block|Bloquer auto impayés
ecole.direction.export|Exporter CSV
ecole.direction.newEvent|Nouvel événement
ecole.direction.newBourse|Nouvelle bourse
ecole.direction.newPartner|Nouveau partenaire
ecole.direction.sendMessage|Envoyer un message
ecole.direction.noEvent|Aucun événement
ecole.direction.noBourse|Aucune bourse
ecole.direction.noPartner|Aucun partenaire
ecole.etu.title|Espace Étudiant
ecole.etu.subtitle|Consultez votre dossier académique, notes et paiements
ecole.etu.searchPlh|Votre numéro étudiant (ETU-XXXX-XXX)…
ecole.etu.access|Accéder à mon dossier
ecole.etu.tab.notes|Mes notes
ecole.etu.tab.paiements|Mes paiements
ecole.etu.tab.absences|Mes absences
ecole.etu.tab.alertes|Alertes
ecole.etu.noStudent|Étudiant introuvable
ecole.etu.blocked|Compte suspendu
ecole.etu.unlock|Débloquer
ecole.etu.suspend|Suspendre
ecole.etu.code|Code de déblocage
ecole.etu.kpi.moyenne|Moyenne
ecole.etu.kpi.paye|Payé
ecole.etu.kpi.absences|Absences
ecole.etu.kpi.alerts|Alertes
ecole.etu.noNotes|Aucune note
ecole.etu.noPaiements|Aucun paiement
ecole.etu.noAbsences|Aucune absence
ecole.etu.noAlerts|Aucune alerte
ecole.parent.title|Espace Parent
ecole.parent.subtitle|Suivez le parcours scolaire de votre enfant
ecole.parent.searchPlh|Numéro étudiant (ETU-XXXX-XXX)…
ecole.parent.access|Voir le dossier
ecole.parent.tab.notes|Notes
ecole.parent.tab.paiements|Paiements
ecole.parent.tab.absences|Absences
ecole.parent.tab.alertes|Alertes
ecole.parent.noStudent|Étudiant introuvable
ecole.parent.kpi.moyenne|Moyenne
ecole.parent.kpi.paye|Payé
ecole.parent.kpi.absences|Absences
ecole.parent.kpi.alerts|Alertes non lues
ecole.parent.noNotes|Aucune note
ecole.parent.noPaiements|Aucun paiement
ecole.parent.noAbsences|Aucune absence
ecole.parent.noAlerts|Aucune alerte
ecole.formateur.title|Espace Formateur
ecole.formateur.subtitle|Gérez vos classes, notes et emploi du temps
ecole.formateur.tab.classes|Mes Classes
ecole.formateur.tab.notes|Saisie des notes
ecole.formateur.tab.planning|Planning
ecole.formateur.tab.absences|Suivi des présences
ecole.formateur.noClass|Aucune classe assignée
ecole.formateur.noStudent|Aucun étudiant
ecole.formateur.save|Enregistrer
ecole.formateur.cancel|Annuler
ecole.formateur.addNote|Ajouter une note
ecole.formateur.markAbsence|Marquer absent
ecole.formateur.kpi.classes|Classes
ecole.formateur.kpi.etudiants|Étudiants
ecole.formateur.kpi.matieres|Matières
ecole.formateur.searchPlh|Rechercher un étudiant…
ecole.miaa.title|MIAA — Assistant IA Scolaire
ecole.miaa.subtitle|Analyse scolaire, paiements, absences & recommandations
ecole.miaa.prompt.paiements|Analyse des paiements
ecole.miaa.prompt.absences|Taux d\
ecole.miaa.prompt.perf|Performance académique
ecole.miaa.prompt.risque|Étudiants à risque
ecole.miaa.prompt.rapport|Rapport de direction
ecole.miaa.prompt.rh|Recommandations RH
ecole.miaa.kpi.etudiants|Étudiants
ecole.miaa.kpi.actifs|Actifs
ecole.miaa.kpi.suspendus|Suspendus
ecole.miaa.kpi.revenuMois|Recettes du mois
ecole.miaa.kpi.revenuAnnee|Recettes annuelles
ecole.miaa.kpi.absences|Absences
ecole.miaa.placeholder|Posez une question sur votre école…
ecole.miaa.send|Envoyer
ecole.miaa.welcome|Bonjour ! Je suis MIAA, votre assistant IA scolaire.
ecole.miaa.loadCtx|Chargement du contexte scolaire…
ecole.miaa.thinking|Analyse en cours…
ecole.compta.title|Comptabilité École
ecole.compta.subtitle|Journal OHADA, grand livre, bilan, trésorerie & prévisions
ecole.compta.tab.journal|Journal OHADA
ecole.compta.tab.grandlivre|Grand Livre
ecole.compta.tab.bilan|Bilan
ecole.compta.tab.tresorerie|Trésorerie
ecole.compta.tab.previsions|Prévisions IA
ecole.compta.kpi.produits|Produits
ecole.compta.kpi.charges|Charges
ecole.compta.kpi.solde|Solde
ecole.compta.kpi.tresorerie|Trésorerie
ecole.compta.addEntry|Ajouter une écriture
ecole.compta.export|Exporter CSV
ecole.compta.noData|Aucune écriture
ecole.compta.save|Enregistrer
ecole.compta.cancel|Annuler
ecole.rh.title|RH École
ecole.rh.subtitle|Gestion du personnel enseignant, contrats et paie
ecole.rh.newTeacher|Nouveau formateur
ecole.rh.searchPlh|Rechercher un formateur…
ecole.rh.tab.liste|Liste du personnel
ecole.rh.tab.contrats|Contrats
ecole.rh.tab.paie|Paie
ecole.rh.tab.planning|Planning
ecole.rh.kpi.total|Total personnel
ecole.rh.kpi.actifs|Actifs
ecole.rh.kpi.conges|En congé
ecole.rh.kpi.masseSalariale|Masse salariale
ecole.rh.noStaff|Aucun personnel
ecole.rh.save|Enregistrer
ecole.rh.cancel|Annuler
ecole.rh.delete|Supprimer
ecole.rh.confirm|Confirmer la suppression ?
ecole.rh.pay|Calculer la paie
ecole.rh.payAll|Payer tous
ecole.rh.filter.all|Tous
ecole.rh.filter.actif|Actif
ecole.rh.filter.conge|En congé
ecole.rh.filter.inactif|Inactif
ecole.rh.colNom|Nom
ecole.rh.colMatiere|Matière
ecole.rh.colStatut|Statut
ecole.rh.colSalaire|Salaire
ecole.rh.colActions|Actions
rh.analytics.title|Analytics RH
rh.analytics.subtitle|Indicateurs clés et tendances de votre effectif
rh.analytics.kpi.headcount|Effectif total
rh.analytics.kpi.turnover|Turnover
rh.analytics.kpi.absRate|Taux d\
rh.analytics.kpi.payroll|Masse salariale
rh.documents.title|Documents RH
rh.documents.subtitle|Contrats, attestations et documents officiels
rh.documents.tab.contrats|Contrats
rh.documents.tab.attestations|Attestations
rh.documents.tab.autres|Autres documents
rh.documents.newDoc|Nouveau document
rh.documents.searchPlh|Rechercher un document…
rh.documents.noDocuments|Aucun document
rh.paie.title|Paie & Bulletins
rh.paie.subtitle|Calcul et génération des bulletins de paie
rh.paie.run|Lancer la paie
rh.paie.export|Exporter
rh.paie.noPayroll|Aucun bulletin de paie
rh.paie.kpi.employes|Employés payés
rh.paie.kpi.masseSalariale|Masse salariale brute
rh.paie.kpi.net|Net à payer total
rh.paie.kpi.cnss|Cotisations CNSS
rh.portail.title|Portail Employé
rh.portail.subtitle|Accédez à vos informations RH personnelles
rh.portail.myInfo|Mes informations
rh.portail.myPayslips|Mes bulletins de paie
rh.portail.myLeaves|Mes congés
rh.portail.myDocs|Mes documents
rh.recrutement.title|Recrutement
rh.recrutement.subtitle|Offres d\
rh.recrutement.tab.postes|Postes ouverts
rh.recrutement.tab.candidats|Candidats
rh.recrutement.tab.entretiens|Entretiens
rh.recrutement.newPosting|Nouvelle offre
rh.recrutement.searchPlh|Rechercher un poste ou candidat…
rh.recrutement.noPostings|Aucune offre
rh.recrutement.statut.ouvert|Ouvert
rh.recrutement.statut.suspendu|Suspendu
rh.recrutement.statut.clos|Clôturé
stock.produits.title|Catalogue Produits
stock.produits.subtitle|Gérez votre catalogue de produits et références
stock.produits.tab.liste|Liste
stock.produits.tab.fiches|Fiches
stock.produits.newProduct|Nouveau produit
stock.produits.searchPlh|Rechercher un produit…
stock.produits.noProducts|Aucun produit
stock.produits.kpi.total|Total références
stock.produits.kpi.alerte|En alerte
stock.produits.kpi.rupture|En rupture
stock.produits.kpi.valeur|Valeur totale
stock.commandes.title|Commandes Fournisseurs
stock.commandes.subtitle|Passez et suivez vos commandes
stock.commandes.newOrder|Nouvelle commande
stock.commandes.noOrders|Aucune commande
stock.commandes.kpi.total|Total commandes
stock.commandes.kpi.pending|En cours
stock.commandes.kpi.valeur|Valeur totale
stock.commandes.stat.brouillon|Brouillon
stock.commandes.stat.envoye|Envoyée
stock.commandes.stat.recu|Reçue
stock.commandes.stat.annule|Annulée
stock.receptions.title|Réceptions
stock.receptions.subtitle|Enregistrez les réceptions de marchandises
stock.receptions.newReception|Nouvelle réception
stock.receptions.noReceptions|Aucune réception
stock.receptions.kpi.total|Total réceptions
stock.receptions.kpi.valeur|Valeur reçue
stock.receptions.kpi.fournisseurs|Fournisseurs
stock.sorties.title|Sorties de Stock
stock.sorties.subtitle|Mouvements de sortie et consommations
stock.sorties.newSortie|Nouvelle sortie
stock.sorties.noSorties|Aucune sortie
stock.sorties.kpi.total|Total sorties
stock.sorties.kpi.count|Nombre d\
stock.sorties.kpi.valeur|Valeur sortie
stock.retours.title|Retours
stock.retours.subtitle|Gérez les retours clients et fournisseurs
stock.retours.tab.client|Retours clients
stock.retours.tab.fournisseur|Retours fournisseurs
stock.retours.newReturn|Nouveau retour
stock.retours.noReturns|Aucun retour
stock.retours.kpi.total|Total retours
stock.retours.kpi.valeur|Valeur retournée
stock.inventaires.title|Inventaires
stock.inventaires.subtitle|Vérifiez et ajustez vos stocks physiques
stock.inventaires.newInventory|Nouvel inventaire
stock.inventaires.noInventories|Aucun inventaire
stock.inventaires.kpi.total|Total inventaires
stock.inventaires.kpi.ecarts|Écarts détectés
stock.inventaires.kpi.valeur|Valeur inventoriée
stock.achats.title|Achats Fournisseurs
stock.achats.subtitle|Gérez vos achats et relations fournisseurs
stock.achats.newPurchase|Nouvel achat
stock.achats.noPurchases|Aucun achat
stock.achats.kpi.total|Total achats
stock.achats.kpi.valeur|Valeur totale
stock.achats.kpi.fournisseurs|Fournisseurs
stock.analytics.title|Analytics Stock
stock.analytics.subtitle|Indicateurs de performance et analyse des mouvements
stock.analytics.kpi.valeur|Valeur du stock
stock.analytics.kpi.rotation|Rotation
stock.analytics.kpi.coverage|Couverture (jours)
stock.analytics.kpi.ruptures|Ruptures
treso.encaissements.title|Encaissements
treso.encaissements.subtitle|Enregistrez vos entrées de trésorerie
treso.encaissements.newEntry|Nouvel encaissement
treso.encaissements.noEntries|Aucun encaissement
treso.encaissements.kpi.total|Total encaissé
treso.encaissements.kpi.mois|Ce mois
treso.encaissements.kpi.count|Nombre d\
treso.decaissements.title|Décaissements
treso.decaissements.subtitle|Enregistrez vos sorties de trésorerie
treso.decaissements.newEntry|Nouveau décaissement
treso.decaissements.noEntries|Aucun décaissement
treso.decaissements.kpi.total|Total décaissé
treso.decaissements.kpi.mois|Ce mois
treso.banques.title|Comptes Bancaires
treso.banques.subtitle|Gérez vos comptes et relevés bancaires
treso.banques.newAccount|Nouveau compte
treso.banques.noAccounts|Aucun compte bancaire
treso.banques.kpi.total|Solde total
treso.banques.kpi.movement|Mouvements du mois
treso.banques.kpi.accounts|Comptes actifs
treso.caisses.title|Caisses
treso.caisses.subtitle|Gérez vos caisses enregistreuses
treso.caisses.newCaisse|Nouvelle caisse
treso.caisses.noCaisses|Aucune caisse
treso.caisses.kpi.total|Solde total
treso.caisses.kpi.movement|Mouvements du mois
treso.caisses.kpi.caisses|Caisses actives
treso.previsions.title|Prévisions de Trésorerie
treso.previsions.subtitle|Projection IA de vos flux financiers
treso.previsions.generate|Générer les prévisions
treso.previsions.horizon|Horizon de prévision
treso.previsions.noData|Aucune donnée de prévision
treso.previsions.kpi.entrees|Entrées prévues
treso.previsions.kpi.sorties|Sorties prévues
treso.previsions.kpi.solde|Solde prévisionnel
treso.alertes.title|Alertes Trésorerie
treso.alertes.subtitle|Surveillez les seuils critiques de trésorerie
treso.alertes.newAlert|Nouvelle alerte
treso.alertes.noAlerts|Aucune alerte active
treso.alertes.kpi.active|Alertes actives
treso.alertes.kpi.critical|Critiques
treso.alertes.kpi.warning|Avertissements
treso.analytics.title|Analytics Trésorerie
treso.analytics.subtitle|Analyse et tendances de vos flux financiers
treso.analytics.kpi.cashflow|Cash Flow net
treso.analytics.kpi.days|Jours de trésorerie
treso.analytics.kpi.ratio|Ratio de liquidité
compta.journal.colCompte|Compte
compta.journal.filterAll|Toutes sources
compta.journal.unbalanced|⚠ Non équilibré
action.filtrer|Filtrer
action.suivant|Suivant
action.precedent|Précédent
statut.en_cours|En cours
statut.termine|Terminé
statut.annule|Annulé
statut.suspendu|Suspendu
statut.bloque|Bloqué
msg.copie|Copié dans le presse-papiers
msg.acces_refuse|Accès refusé
msg.session_expiree|Session expirée, veuillez vous reconnecter
